"order_date","order_year","order_month","month_number","category","sales","quantity","discount","profit"
"2017-04-15","2017","April","4","Office Supplies","15.552","3.0","20.0","5.4432"
"2017-07-16","2017","July","7","Furniture","71.372","2.0","30.0","-1.0196"
"2017-10-19","2017","October","10","Office Supplies","29.472","3.0","20.0","9.9468"
"2017-09-10","2017","September","9","Technology","147.168","4.0","20.0","16.5564"
"2017-09-19","2017","September","9","Office Supplies","95.616","2.0","20.0","9.5616"
"2017-09-14","2017","September","9","Office Supplies","19.05","3.0","0.0","8.763"
"2017-12-09","2017","December","12","Office Supplies","1.248","3.0","80.0","-1.9344"
"2017-12-09","2017","December","12","Furniture","9.708","3.0","60.0","-5.8248"
"2017-12-09","2017","December","12","Office Supplies","27.24","3.0","20.0","2.724"
"2017-11-13","2017","November","11","Office Supplies","230.376","3.0","20.0","-48.9549"
"2017-05-28","2017","May","5","Furniture","301.96","2.0","0.0","33.2156"
"2017-10-26","2017","October","10","Technology","19.99","1.0","0.0","6.7966"
"2017-10-26","2017","October","10","Office Supplies","6.16","2.0","0.0","2.9568"
"2017-11-06","2017","November","11","Office Supplies","5.682","1.0","70.0","-3.788"
"2017-11-09","2017","November","11","Furniture","96.53","7.0","0.0","40.5426"
"2017-06-17","2017","June","6","Office Supplies","51.312","3.0","20.0","17.9592"
"2017-11-23","2017","November","11","Technology","74.112","8.0","20.0","17.6016"
"2017-11-23","2017","November","11","Technology","27.992","1.0","20.0","2.0994"
"2017-11-23","2017","November","11","Office Supplies","3.304","1.0","20.0","1.0738"
"2017-12-25","2017","December","12","Furniture","41.96","2.0","0.0","10.9096"
"2017-11-05","2017","November","11","Office Supplies","2.388","2.0","70.0","-1.8308"
"2017-11-05","2017","November","11","Office Supplies","243.992","7.0","20.0","30.499"
"2017-02-02","2017","February","2","Technology","59.97","5.0","40.0","-11.994"
"2017-02-02","2017","February","2","Office Supplies","78.304","2.0","20.0","29.364"
"2017-02-02","2017","February","2","Office Supplies","21.456","9.0","20.0","6.9732"
"2017-09-18","2017","September","9","Office Supplies","8.82","3.0","0.0","2.3814"
"2017-09-18","2017","September","9","Office Supplies","10.86","3.0","0.0","5.1042"
"2017-09-18","2017","September","9","Office Supplies","143.7","3.0","0.0","68.976"
"2017-12-22","2017","December","12","Office Supplies","839.43","3.0","0.0","218.2518"
